id,article_number,model,brand,product_description,product_description_long,buying_price,ean_code,costs,margin,dealer_margin,currency
82,OR113275,OR-165,ORCA,Orca Audio Duffel Backpack,To store and carry sound gear. Compatible with all Orca audio bags and additional field recording gear ,185,7290015564328,1.02,0.75,0.8,usd
83,OR113276,OR-268,ORCA,Orca Low Profile Audio Mixer Bag ,For Zoom F6 and small mixers with up to 2 wireless systems,115,7290015564335,1.02,0.75,0.8,usd
84,OR113277,OR-270,ORCA,Orca Low Profile Audio Mixer Bag ,"For SoundDevices MixPre 3/M, 6/M (w. MX-L battery mount) series & similarly sized mixers with up to 2 wireless systems  ",119,7290015564045,1.02,0.75,0.8,usd
85,OR113278,OR-272,ORCA,Orca Low Profile Audio Mixer Bag with detachable front pocket ,"For Zoom F4/F8N, MixPre 10T with up to 2 receivers, ZAXCOM NOVA",137,7290015564212,1.02,0.75,0.8,usd
86,OR113279,OSP-10272-10*,ORCA,Orca Front Accessories Pocket for the OR-272 includes 2 side wireless pouches ,To replace the flat front panel at OR-272 ,125,7290015564366,1.02,0.75,0.8,usd
87,OR113280,OR-280,ORCA,Orca Audio Bag ,"Extra high, for MixPre 10T plus MX-L battery mount, ZAXCOM Nova and similarly sized audio mixers",245,7290015564069,1.02,0.75,0.8,usd
88,OR113281,OR-311,ORCA,"Orca Pouch for Zaxcom TRX -LA2 transmitter, audio limited 10","The Orca bags pouch, OR-311, was designed to hold and protect the Zaxcom TRX -LA2 transmitter, audio limited 10t. The pouch has a belt clip easy to use and a TPU transparent front for maximum visibility",19,7290015563703,1.02,0.75,0.8,usd
89,OR113282,OR-330,ORCA,"Orca Premium Audio Mixer Bag for Sound Devices: SD-833, SD-888; Zaxcom NOVA with 8 wireless systems",For multiple large mixers with up to 10 wireless systems ,375,7290015565622,1.02,0.75,0.8,usd
90,OR113283,OSP-10330-10*,ORCA,Orca big front pouch for OR-330/20/272 (does NOT include 2 wireless pouches),Front pouch for extra accessories,89,7290015565639,1.02,0.75,0.8,usd
91,OR113284,OR-332,ORCA,"Orca Premium Audio Mixer Bag for Sound Devices: SD-552, SD-688, SD-888, (SCORPIO)",For multiple large mixers with up to 10 wireless systems ,389,7290015564465,1.02,0.75,0.8,usd
92,OR113285,OSP-10332-23*,ORCA,Orca big front pouch for OR-332/OR-32 (does NOT include 2 wireless pouches),Front pouch for extra accessories,89,,1.02,0.75,0.8,usd
93,OR113286,OR-334,ORCA,Orca Audio Mixer Bag For Sound Devices SCORPIO,Limited edition for Sound Devices SCORPIO mixer with up to 14 receivers      ,403,7290015564342,1.02,0.75,0.8,usd
94,OR113287,OR-400,ORCA,"Orca Lightweight Audio Harness  
",For Orca audio bags: OR-27/28/30/268/270 & 280,59,7290015563710,1.02,0.75,0.8,usd
95,OR113288,OR-430,ORCA,Orca Small boom pole Hard Shell Case ,"For small sized boom poles, max. length 60cm",38,7290015563888,1.02,0.75,0.8,usd
